config_label,difficulty,pass_at_1
"01: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",easy,0.84251968503937
"01: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",hard,0.4339622641509434
"01: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",medium,0.6481481481481481
"02: 1.5b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",easy,0.7244094488188977
"02: 1.5b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",hard,0.32075471698113206
"02: 1.5b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",medium,0.4074074074074074
"03: 1.5b, q4_K_M, T=0.0, p=0.95, pred=128, ctx=1024, th=1",easy,0.7191601049868767
"03: 1.5b, q4_K_M, T=0.0, p=0.95, pred=128, ctx=1024, th=1",hard,0.1320754716981132
"03: 1.5b, q4_K_M, T=0.0, p=0.95, pred=128, ctx=1024, th=1",medium,0.39444444444444443
"04: 32b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",easy,0.9002624671916011
"04: 32b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",hard,0.5471698113207547
"04: 32b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",medium,0.7759259259259259
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",easy,0.9002624671916011
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",hard,0.32075471698113206
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",medium,0.7537037037037037
"06: 1.5b, q4_K_M, T=0.0, p=0.85, pred=256, ctx=1024, th=1",easy,0.7427821522309711
"06: 1.5b, q4_K_M, T=0.0, p=0.85, pred=256, ctx=1024, th=1",hard,0.2641509433962264
"06: 1.5b, q4_K_M, T=0.0, p=0.85, pred=256, ctx=1024, th=1",medium,0.4203703703703704
"07: 7b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",easy,0.8503937007874016
"07: 7b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",hard,0.4716981132075472
"07: 7b, q4_K_M, T=0.3, p=0.85, pred=256, ctx=1024, th=1",medium,0.6592592592592592
"08: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",easy,0.8293963254593176
"08: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",hard,0.4339622641509434
"08: 7b, q4_K_M, T=0.0, p=0.95, pred=192, ctx=1024, th=1",medium,0.6388888888888888
"09: 7b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",easy,0.8451443569553806
"09: 7b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",hard,0.22641509433962265
"09: 7b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",medium,0.6166666666666667
"10: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",easy,0.863517060367454
"10: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",hard,0.4716981132075472
"10: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",medium,0.6666666666666666
"11: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",easy,0.8661417322834646
"11: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",hard,0.4528301886792453
"11: 7b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=384, th=1",medium,0.6777777777777778
"12: 7b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",easy,0.8346456692913385
"12: 7b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",hard,0.4528301886792453
"12: 7b, q4_K_M, T=0.3, p=0.9, pred=192, ctx=1024, th=1",medium,0.6351851851851852
"13: 1.5b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=1024, th=1",easy,0.7296587926509186
"13: 1.5b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=1024, th=1",hard,0.2830188679245283
"13: 1.5b, q4_K_M, T=0.3, p=0.9, pred=256, ctx=1024, th=1",medium,0.40185185185185185
"14: 1.5b, q4_K_M, T=0.3, p=0.95, pred=256, ctx=1024, th=1",easy,0.7086614173228346
"14: 1.5b, q4_K_M, T=0.3, p=0.95, pred=256, ctx=1024, th=1",hard,0.2641509433962264
"14: 1.5b, q4_K_M, T=0.3, p=0.95, pred=256, ctx=1024, th=1",medium,0.40185185185185185
