generation,total,assertion_failure,function_name_case_mismatch,function_name_mismatch,import_error,nameerror_other,other_runtime_error,signature_or_type_error,syntax_error,timeout
1,958,755,5,11,1,,11,79,96,
2,375,315,1,5,,,1,25,27,1
3,456,381,1,,,,11,34,29,
4,238,212,,,,,1,1,24,
5,96,84,,,,,1,4,7,
6,367,319,,,,,,28,20,
7,104,92,,,,,2,3,7,
8,609,504,9,26,,,25,39,5,1
9,302,208,,,,,6,3,85,
10,231,192,,,,,,21,18,
11,192,166,1,,,,4,7,14,
12,84,70,,,,,,4,10,
13,18,18,,,,,,,,
14,273,227,,,,,3,28,15,
15,21,19,,,,,1,1,,
16,80,65,,,,,,10,5,
17,116,110,,,,,4,2,,
18,518,417,11,23,,,25,33,9,
19,48,39,,,,,,6,3,
20,666,548,8,26,,,21,39,23,1
21,30,24,,,,,,,6,
22,37,32,,,,,,,5,
23,36,28,,,,,1,,7,
25,52,40,,,,,,,12,
26,296,221,,4,,,3,9,58,1
27,110,88,,,,,2,12,8,
28,131,113,,,,,,17,1,
29,46,36,,,,,2,1,6,1
30,112,93,,,,,,9,10,
32,521,347,,3,,1,3,22,145,
33,247,214,,2,,,,5,26,
34,23,21,,,,,1,1,,
35,332,285,,4,,,5,21,16,1
36,65,55,,,,,,4,6,
39,365,237,,3,,,4,14,107,
40,611,387,11,19,,,17,44,132,1
41,267,225,,2,,,7,9,23,1
42,250,231,,3,,,4,10,2,
43,198,167,,2,,,,5,24,
45,23,21,,,,,1,1,,
46,498,427,2,2,,,9,20,37,1
48,359,330,,3,,,8,13,4,1
49,513,407,11,29,,,26,30,9,1
52,94,82,,,,,2,,10,
53,25,25,,,,,,,,
58,14,10,,,,,,2,2,
59,59,49,,,,,,1,9,
61,5,5,,,,,,,,
62,42,39,,,,,,,3,
63,47,43,,,,,,4,,
64,296,254,,,,,1,33,8,
65,5,5,,,,,,,,
66,25,21,,,,,1,,3,
67,32,28,,,,,,,4,
68,59,52,,,,,,4,3,
70,69,69,,,,,,,,
72,28,20,,,,,,,8,
73,135,121,,,,,4,10,,
74,67,56,,,,,,6,5,
